27	12
29	12
31	12
34	12
37	12
40	12
46	12
48	12
54	12
57	12
60	12
62	12
69	12
74	12
80	12
87	12
89	12
92	12
93	12
96	12
97	12
103	12
106	12
108	12
111	12
112	12
116	12
118	12
119	12
124	12
125	12
126	12
136	12
137	12
142	12
144	12
149	12
153	12
155	12
159	12
166	12
175	12
194	12
3	13
6	13
9	13
24	13
27	13
28	13
29	13
32	13
33	13
38	13
45	13
51	13
56	13
58	13
61	13
63	13
65	13
68	13
76	13
84	13
96	13
105	13
106	13
107	13
113	13
123	13
126	13
127	13
128	13
131	13
134	13
135	13
143	13
147	13
152	13
153	13
156	13
165	13
168	13
171	13
175	13
183	13
184	13
185	13
188	13
148	14
157	14
161	14
166	14
167	14
171	14
176	14
181	14
193	14
